age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
21,Private,109455,11th,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,0,21,United-States,<=50K
28,State-gov,199905,HS-grad,9,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,-20,0,40,United-States,<=50K
48,Federal-gov,214040,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Female,20,-1,40,United-States,<=50K
34,Federal-gov,155475,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,-32,1873,40,United-States,>50K
33,Self-emp-not-inc,137210,HS-grad,9,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,-12,0,30,United-States,<=50K
56,Private,216749,Prof-school,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,14448,1,50,United-States,>50K
49,Private,36595,10th,6,Never-married,Farming-fishing,Not-in-family,Black,Male,12,1,21,United-States,<=50K
22,Private,180060,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,-12,1,40,United-States,<=50K
21,Private,35998,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,-2,0,40,United-States,<=50K
21,Private,210439,Masters,14,Separated,Prof-specialty,Not-in-family,Black,Female,-3,0,11,England,<=50K
32,Self-emp-inc,214891,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Female,10,1,60,United-States,<=50K
34,?,106515,10th,15,Married-AF-spouse,?,Wife,White,Female,29,0,36,United-States,>50K
64,Private,209390,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,-29,0,40,United-States,>50K
76,Self-emp-not-inc,241903,1st-4th,4,Widowed,Other-service,Not-in-family,White,Female,25,0,31,United-States,<=50K
25,Private,311980,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,-21,1,40,Yugoslavia,<=50K
31,Self-emp-inc,53345,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,-19,0,31,United-States,<=50K
29,Self-emp-inc,195986,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,14861,1770,40,United-States,<=50K
27,Private,207598,Some-college,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,-8,0,40,Hong,<=50K
26,State-gov,180489,10th,7,Never-married,Craft-repair,Not-in-family,White,Male,16,1,40,United-States,<=50K
27,Private,214149,Some-college,10,Divorced,Other-service,Unmarried,White,Male,27,0,45,United-States,>50K
43,State-gov,288454,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7564,0,12,United-States,>50K
39,Private,201055,Some-college,4,Married-spouse-absent,Craft-repair,Unmarried,White,Female,-7,0,31,Outlying-US(Guam-USVI-etc),<=50K
28,Private,314732,12th,8,Never-married,Craft-repair,Not-in-family,White,Male,40,0,40,United-States,<=50K
44,Private,200821,Some-college,4,Divorced,Adm-clerical,Unmarried,White,Female,-9,1,40,United-States,<=50K
28,Private,111380,Masters,14,Never-married,Sales,Not-in-family,Other,Female,18,0,20,England,<=50K
24,Private,221300,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,-3,0,40,?,>50K
35,Private,117551,Masters,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,-5,0,50,South,>50K
36,Private,203739,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,6,0,40,United-States,<=50K
23,Private,138493,11th,7,Never-married,Other-service,Own-child,White,Female,-1,1,23,United-States,<=50K
58,State-gov,186194,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,-19,0,31,United-States,<=50K
36,Private,292041,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-13,0,40,United-States,<=50K
31,Local-gov,120840,Some-college,15,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,-10,0,40,Cuba,<=50K
58,State-gov,202255,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7491,1901,40,United-States,>50K
56,Private,273543,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Female,2376,1,40,United-States,<=50K
18,Private,420402,10th,9,Never-married,Handlers-cleaners,Own-child,White,Male,10,1,40,United-States,<=50K
48,State-gov,296543,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,-18,0,40,United-States,<=50K
25,Private,201508,Masters,14,Never-married,Farming-fishing,Other-relative,White,Female,-9,0,40,United-States,<=50K
70,Federal-gov,293617,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,-13,1839,50,United-States,>50K
35,?,190654,Bachelors,13,Married-civ-spouse,?,Wife,White,Female,2,0,40,United-States,<=50K
18,Private,176011,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,-2,0,40,United-States,<=50K
53,Private,36175,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,-26,0,45,United-States,>50K
72,Private,119426,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,-9,0,40,United-States,>50K
69,Private,296516,1st-4th,4,Divorced,Sales,Not-in-family,White,Female,1,0,44,United-States,<=50K
68,Self-emp-not-inc,143305,11th,7,Widowed,Other-service,Unmarried,Black,Female,9,1,24,Jamaica,<=50K
18,?,288142,11th,7,Never-married,?,Own-child,White,Female,-11,0,40,United-States,<=50K
34,Private,495086,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,22,1,31,United-States,<=50K
40,Self-emp-not-inc,125606,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,4267,1,61,Honduras,<=50K
35,Federal-gov,150281,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,3022,1,40,United-States,>50K
32,Federal-gov,354415,Assoc-voc,11,Married-spouse-absent,Adm-clerical,Not-in-family,Other,Male,3,-1,40,Dominican-Republic,<=50K
53,Private,37807,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,-9,0,46,England,<=50K
51,Private,176080,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Male,14760,1,50,Cuba,>50K
39,?,42588,Some-college,10,Never-married,?,Not-in-family,Asian-Pac-Islander,Female,-30,-1,9,United-States,<=50K
70,Private,56092,HS-grad,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,7,1,40,United-States,>50K
36,Private,288851,Bachelors,12,Divorced,Tech-support,Not-in-family,Black,Male,1,2043,50,United-States,<=50K
30,Private,126465,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,-17,1,40,United-States,<=50K
25,State-gov,28522,Some-college,10,Never-married,Other-service,Own-child,White,Male,-8,1785,31,United-States,<=50K
