age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
38.0,Private,215646.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28.0,Local-gov,132456.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,45.0,India,<=50K
45.0,Self-emp-not-inc,189765.0,Some-college,10.0,Married-civ-spouse,Protective-serv,Husband,Black,Male,0.0,0.0,50.0,Jamaica,<=50K
52.0,Federal-gov,234567.0,Masters,14.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,35.0,United-States,<=50K
31.0,Private,178945.0,Assoc-voc,11.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,38.0,Mexico,<=50K
24.0,Private,156789.0,Bachelors,16.0,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Female,0.0,0.0,30.0,Philippines,<=50K
41.0,Self-emp-not-inc,198765.0,,,,,,,,,,,,<=50K
34.0,Private,218746.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
45.0,Self-emp-not-inc,157892.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28.0,Local-gov,234156.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,35.0,United-States,<=50K
52.0,Self-emp-not-inc,187234.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,50.0,India,<=50K
23.0,Private,198765.0,Bachelors,13.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,30.0,United-States,<=50K
37.0,Federal-gov,167234.0,Assoc-voc,11.0,Divorced,Protective-serv,Unmarried,Black,Male,0.0,0.0,40.0,United-States,<=50K
41.0,Private,,,,,,,,,,,,,<=50K
34.0,Private,234567.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,2000.0,500.0,40.0,United-States,<=50K
28.0,Self-emp-not-inc,189234.0,HS-grad,9.0,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,50.0,India,<=50K
45.0,Local-gov,345678.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,Black,Male,5000.0,1000.0,45.0,Jamaica,<=50K
52.0,Self-emp-inc,456789.0,Doctorate,16.0,Divorced,Prof-specialty,Not-in-family,White,Female,8000.0,2000.0,35.0,United-States,<=50K
29.0,Private,567890.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,Mexico,<=50K
37.0,Federal-gov,678901.0,Bachelors,13.0,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,1000.0,0.0,30.0,Philippines,<=50K
61.0,Self-emp-not,,,,,,,,,,,,,<=50K
34.0,Private,215647.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
45.0,Self-emp-not-inc,157832.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
28.0,Local-gov,189234.0,Some-college,10.0,Never-married,Protective-serv,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
52.0,Self-emp-not-inc,98765.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,55.0,United-States,<=50K
38.0,Private,234567.0,Bachelors,13.0,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,38.0,India,<=50K
41.0,Federal-gov,145678.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
23.0,Private,,,,,,,,,,,,,<=50K
34.0,Private,215647.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,2174.0,0.0,50.0,United-States,<=50K
45.0,Self-emp-not-inc,157839.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28.0,Private,98765.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,35.0,United-States,<=50K
52.0,Local-gov,234567.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,3000.0,0.0,45.0,India,<=50K
39.0,Private,123456.0,Assoc-voc,11.0,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
23.0,Private,89012.0,Bachelors,13.0,Never-married,Tech-support,Own-child,White,Male,,,,,<=50K
34.0,Private,236791.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
45.0,Local-gov,189321.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28.0,Self-emp-not-inc,178932.0,Some-college,10.0,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0.0,0.0,35.0,India,<=50K
52.0,Self-emp-inc,234567.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,45.0,United-States,<=50K
38.0,Private,198765.0,Assoc-voc,11.0,Divorced,Tech-support,Unmarried,Black,Female,0.0,0.0,38.0,United-States,<=50K
25.0,Private,167890.0,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,30.0,Canada,<=50K
60.0,Self-emp-not-inc,145.0,,,,,,,,,,,,<=50K
38.0,Private,215646.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,50.0,United-States,>50K
45.0,Self-emp-not-inc,157825.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
50.0,Federal-gov,234156.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,45.0,India,>50K
28.0,Private,178234.0,Bachelors,13.0,Never-married,Sales,Own-child,Black,Male,5178.0,0.0,60.0,United-States,>50K
52.0,Self-emp-inc,312456.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999.0,0.0,65.0,United-States,>50K
41.0,Private,198765.0,Some-college,10.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,50.0,Cuba,>50K
33.0,Private,156789.0,,,,,,,,,,,,>50K
34.0,Private,189765.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
45.0,Self-emp-not-inc,234567.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,Black,Male,0.0,0.0,50.0,United-States,<=50K
28.0,Private,156789.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0.0,0.0,40.0,India,<=50K
52.0,Local-gov,198765.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
39.0,Private,145678.0,Bachelors,13.0,Divorced,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,35.0,United-States,<=50K
23.0,Private,123456.0,Assoc-voc,11.0,Never-married,Sales,Own-child,Black,Male,0.0,0.0,38.0,Jamaica,<=50K
61.0,Self-emp-not-inc,167890.0,,,,,,,,,,,,<=50K
34.0,Private,234567.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,2000.0,200.0,40.0,United-States,<=50K
45.0,Self-emp-not-inc,456789.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,1500.0,100.0,50.0,India,<=50K
28.0,Private,123456.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,35.0,United-States,<=50K
52.0,Local-gov,345678.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,3000.0,500.0,45.0,Canada,<=50K
39.0,Private,567890.0,Bachelors,13.0,Divorced,Sales,Unmarried,White,Female,0.0,0.0,38.0,United-States,<=50K
24.0,Private,234567.0,Assoc-voc,11.0,Never-married,Tech-support,Own-child,,,,,,,<=50K
38.0,Private,215646.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
52.0,Self-emp-not-inc,287927.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,32.0,United-States,<=50K
42.0,Local-gov,123456.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,50.0,India,<=50K
29.0,Private,345678.0,11th,7.0,Never-married,Sales,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
61.0,Self-emp-not-inc,456789.0,HS-grad,9.0,Widowed,Farming-fishing,Not-in-family,White,Female,0.0,0.0,20.0,United-States,<=50K
25.0,Private,567890.0,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,45.0,United-States,<=50K
48.0,Private,,,,,,,,,,,,,<=50K
42.0,Private,234567.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,2000.0,0.0,50.0,United-States,<=50K
28.0,Self-emp-not-inc,156789.0,Some-college,10.0,Never-married,Sales,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
35.0,Local-gov,345678.0,HS-grad,9.0,Divorced,Protective-serv,Unmarried,White,Female,0.0,100.0,35.0,United-States,<=50K
52.0,Self-emp-inc,456789.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,5000.0,0.0,60.0,India,<=50K
25.0,Private,567890.0,Bachelors,13.0,Never-married,Tech-support,Own-child,White,Female,0.0,0.0,38.0,United-States,<=50K
61.0,Self-emp-not-inc,678901.0,11th,7.0,Widowed,Farming-fishing,Not-in-family,White,Female,0.0,0.0,25.0,United-States,<=50K
33.0,Private,,,,,,,,,,,,,<=50K
38.0,Private,215646.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28.0,Local-gov,112156.0,Bachelors,13.0,Never-married,Protective-serv,Own-child,Black,Male,0.0,0.0,50.0,United-States,<=50K
45.0,Self-emp-not-inc,345678.0,Some-college,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
50.0,Private,178945.0,11th,7.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
35.0,Private,98765.0,Bachelors,13.0,Divorced,Tech-support,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,38.0,India,<=50K
42.0,Private,234567.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
29.0,Private,123456.0,,,,,,,,,,,,<=50K
34.0,Private,234567.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,2000.0,0.0,45.0,United-States,<=50K
45.0,Self-emp-not-inc,189234.0,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,Black,Male,0.0,500.0,50.0,United-States,<=50K
28.0,Private,156789.0,Some-college,10.0,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,1500.0,0.0,40.0,India,<=50K
52.0,Federal-gov,245678.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
39.0,Local-gov,178945.0,Bachelors,13.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,55.0,United-States,<=50K
24.0,Private,123456.0,Assoc-voc,11.0,Never-married,Adm-clerical,Own-child,,,,,,,<=50K
45.0,Private,123456.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,2000.0,0.0,40.0,United-States,<=50K
28.0,Self-emp-not-inc,345678.0,HS-grad,9.0,Never-married,Sales,Not-in-family,Black,Male,0.0,0.0,50.0,United-States,<=50K
35.0,Local-gov,234567.0,Some-college,10.0,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,0.0,100.0,38.0,India,<=50K
52.0,Private,456789.0,Masters,14.0,Divorced,Exec-managerial,Unmarried,White,Female,1500.0,200.0,45.0,United-States,<=50K
60.0,Self-emp-inc,567890.0,Doctorate,16.0,Widowed,Prof-specialty,Not-in-family,White,Female,5000.0,0.0,30.0,Germany,<=50K
41.0,Federal-gov,678901.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,Black,,,,,,<=50K
45.0,Self-emp-not-inc,123456.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,2000.0,0.0,50.0,United-States,<=50K
28.0,Private,234567.0,Some-college,10.0,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0.0,0.0,35.0,India,<=50K
52.0,Local-gov,345678.0,HS-grad,9.0,Divorced,Protective-serv,Unmarried,Black,Male,0.0,100.0,40.0,Cuba,<=50K
33.0,Private,456789.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,1500.0,0.0,45.0,Mexico,<=50K
41.0,Self-emp-not-inc,567890.0,11th,7.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,200.0,55.0,United-States,<=50K
29.0,Private,678901.0,Bachelors,13.0,Never-married,Tech-support,Own-child,,,,,,,<=50K
34.0,Private,234567.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
28.0,Local-gov,189234.0,Some-college,10.0,Never-married,Protective-serv,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
45.0,Self-emp-not-inc,345678.0,HS-grad,9.0,Divorced,Sales,Unmarried,White,Female,0.0,0.0,35.0,United-States,<=50K
52.0,Private,456789.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,50.0,India,<=50K
23.0,Private,567890.0,11th,7.0,Never-married,Handlers-cleaners,Own-child,Black,Female,0.0,0.0,30.0,United-States,<=50K
61.0,Self-emp-not-inc,678901.0,Doctorate,16.0,Widowed,Prof-specialty,Not-in-family,White,Female,,,,,<=50K
34.0,Private,218746.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
45.0,Self-emp-not-inc,157832.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28.0,Local-gov,234156.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,38.0,United-States,<=50K
52.0,Self-emp-not-inc,178432.0,11th,7.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
39.0,Private,265432.0,Assoc-voc,11.0,Divorced,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
23.0,Private,198765.0,Bachelors,13.0,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Female,0.0,0.0,35.0,India,<=50K
61.0,Self-emp-not-inc,,,,,,,,,,,,,<=50K
34.0,Private,256347.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
