age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
27,Self-emp-inc,123103,HS-grad,9,Separated,Other-service,Other-relative,White,Male,0,0,60,United-States,<=50K
21,Self-emp-not-inc,117063,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,6,0,19,United-States,<=50K
22,?,172981,HS-grad,9,Never-married,?,Own-child,White,Female,6,0,12,United-States,<=50K
50,Federal-gov,169286,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Private,42500,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,10,0,40,United-States,<=50K
48,Private,199198,Preschool,4,Married-civ-spouse,Other-service,Wife,White,Male,37,0,20,Mexico,>50K
46,Private,82306,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Vietnam,<=50K
29,?,45652,12th,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,100692,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,26,0,40,United-States,>50K
22,Private,184121,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,19,0,40,United-States,<=50K
34,Private,45460,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,4,0,40,United-States,<=50K
32,Self-emp-not-inc,79690,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,Hungary,<=50K
22,State-gov,343401,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,1,0,37,United-States,<=50K
29,Private,185907,Bachelors,10,Divorced,Exec-managerial,Not-in-family,White,Female,15,0,30,United-States,<=50K
30,Private,35057,Some-college,10,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Female,4,0,40,Ecuador,<=50K
48,Private,215362,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,23,0,40,United-States,>50K
35,Private,188838,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,18,0,40,United-States,<=50K
46,Without-pay,29542,11th,7,Never-married,Craft-repair,Not-in-family,White,Female,13,0,29,United-States,<=50K
47,?,33979,HS-grad,9,Separated,?,Not-in-family,White,Female,3,0,40,United-States,<=50K
45,?,173201,HS-grad,9,Separated,?,Unmarried,White,Female,16,0,40,United-States,<=50K
45,Private,39105,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,16,0,45,United-States,>50K
39,Private,157632,9th,5,Divorced,Craft-repair,Husband,White,Female,21,1,40,Mexico,<=50K
50,Without-pay,158486,10th,11,Married-civ-spouse,Sales,Husband,White,Male,8,0,40,United-States,<=50K
23,Private,165511,Assoc-voc,11,Married-spouse-absent,Other-service,Unmarried,White,Female,6,0,40,United-States,<=50K
23,Private,249859,Some-college,10,Married-AF-spouse,Machine-op-inspct,Wife,White,Female,0,0,30,United-States,<=50K
32,?,269507,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,188748,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,4,0,10,United-States,<=50K
47,State-gov,183616,Doctorate,5,Divorced,Prof-specialty,Husband,White,Male,16,0,40,United-States,>50K
20,?,165801,11th,7,Never-married,?,Own-child,White,Female,0,0,10,United-States,<=50K
31,Private,177658,Assoc-voc,4,Married-civ-spouse,Sales,Husband,White,Male,9,0,45,United-States,<=50K
58,Private,383081,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,40,United-States,<=50K
31,Local-gov,338404,HS-grad,9,Married-civ-spouse,Other-service,Husband,Other,Male,6,0,35,United-States,<=50K
45,Local-gov,198398,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,27,0,36,Canada,>50K
24,Private,155123,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,15,0,40,United-States,<=50K
41,Private,243568,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,12,0,40,United-States,<=50K
48,Private,160187,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Greece,>50K
39,Private,47654,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Male,0,0,19,United-States,<=50K
44,Private,207732,7th-8th,9,Married-spouse-absent,Sales,Unmarried,Black,Female,0,0,44,United-States,<=50K
29,Private,116582,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,5,0,40,United-States,<=50K
46,Self-emp-inc,245221,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,6,0,71,United-States,<=50K
39,Private,213481,Some-college,10,Married-civ-spouse,Transport-moving,Other-relative,Amer-Indian-Eskimo,Male,10,1,40,United-States,<=50K
50,Self-emp-not-inc,29103,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Female,10,0,44,United-States,<=50K
35,Private,268880,1st-4th,2,Divorced,Craft-repair,Unmarried,White,Male,19,0,40,Mexico,<=50K
27,Private,413389,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,31,United-States,<=50K
39,Local-gov,100165,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Private,50858,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Male,12,0,61,United-States,<=50K
44,Private,168359,7th-8th,4,Married-spouse-absent,Craft-repair,Unmarried,White,Female,36,0,40,Mexico,<=50K
57,State-gov,32634,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,530589,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,2,0,46,United-States,<=50K
27,Private,226509,Assoc-acdm,13,Divorced,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,31,Mexico,<=50K
36,Local-gov,161938,Prof-school,15,Married-civ-spouse,Transport-moving,Husband,White,Male,4,1,62,United-States,>50K
24,Private,191232,Assoc-acdm,13,Never-married,Adm-clerical,Own-child,White,Male,7,1,40,United-States,<=50K
31,Private,105099,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,23,1,21,United-States,<=50K
31,Self-emp-inc,281079,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4071,0,58,United-States,<=50K
22,Private,235379,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,9,0,61,United-States,<=50K
29,Private,321269,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,1,1,40,United-States,>50K
57,Private,201345,9th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
